# CIV.EXE — discovered functions (1142 total)
# fields: addr  seg  name  body_size  param_count  source

1098:016a       1098    FUN_1098_016a                                         14    0  DEFAULT
1098:0178       1098    FUN_1098_0178                                         14    0  DEFAULT
1098:0186       1098    FUN_1098_0186                                         14    0  DEFAULT
1098:0194       1098    FUN_1098_0194                                         14    0  DEFAULT
1098:01a2       1098    FUN_1098_01a2                                         14    0  DEFAULT
1098:01b0       1098    FUN_1098_01b0                                        289    1  DEFAULT
1098:02d1       1098    FUN_1098_02d1                                        274    2  DEFAULT
1098:03e3       1098    FUN_1098_03e3                                        549    2  DEFAULT
1098:061a       1098    FUN_1098_061a                                         21    0  DEFAULT
1098:062f       1098    FUN_1098_062f                                        201    0  DEFAULT
1098:06f8       1098    FUN_1098_06f8                                        628    2  DEFAULT
1098:096c       1098    FUN_1098_096c                                        161    1  DEFAULT
1098:0a0d       1098    FUN_1098_0a0d                                        151    3  DEFAULT
1098:0aa4       1098    FUN_1098_0aa4                                        143    3  DEFAULT
1098:0b33       1098    FUN_1098_0b33                                        121    1  DEFAULT
1098:0bac       1098    FUN_1098_0bac                                         31    2  DEFAULT
1098:0bcb       1098    FUN_1098_0bcb                                         18    0  DEFAULT
1098:0bdd       1098    FUN_1098_0bdd                                        121    2  DEFAULT
1098:0d43       1098    FUN_1098_0d43                                        132    4  DEFAULT
1098:0dc7       1098    FUN_1098_0dc7                                         19    0  DEFAULT
1098:0dda       1098    FUN_1098_0dda                                         49    0  DEFAULT
1098:0e0b       1098    FUN_1098_0e0b                                        198    1  DEFAULT
1098:0ed1       1098    FUN_1098_0ed1                                        563    5  DEFAULT
1098:1104       1098    FUN_1098_1104                                         28    2  DEFAULT
1098:1120       1098    FUN_1098_1120                                         42    0  DEFAULT
1098:114a       1098    FUN_1098_114a                                         58    0  DEFAULT
1098:1184       1098    FUN_1098_1184                                         18    0  DEFAULT
1098:1196       1098    FUN_1098_1196                                         50    1  DEFAULT
1098:11c8       1098    FUN_1098_11c8                                         40    0  DEFAULT
1098:11f0       1098    FUN_1098_11f0                                         95    2  DEFAULT
1098:124f       1098    FUN_1098_124f                                        963    3  DEFAULT
1098:1612       1098    FUN_1098_1612                                        208    1  DEFAULT
1098:16e2       1098    DLGPROC                                               70    3  IMPORTED
1098:1838       1098    CIVDIALOGPROC                                        191    4  IMPORTED
1098:18f7       1098    FUN_1098_18f7                                         18    0  DEFAULT
1098:1909       1098    FUN_1098_1909                                       1101    6  DEFAULT
1098:1d56       1098    FUN_1098_1d56                                         83    4  DEFAULT
1098:1f3d       1098    FUN_1098_1f3d                                         18    0  DEFAULT
1098:1f4f       1098    FUN_1098_1f4f                                        145    6  DEFAULT
1098:1fe0       1098    FUN_1098_1fe0                                         14    0  DEFAULT
1098:1fee       1098    FUN_1098_1fee                                         14    0  DEFAULT
1098:1ffc       1098    FUN_1098_1ffc                                         14    0  DEFAULT
1098:200a       1098    FUN_1098_200a                                         19    0  DEFAULT
1098:201d       1098    FUN_1098_201d                                        201    5  DEFAULT
1098:20e6       1098    FUN_1098_20e6                                         14    0  DEFAULT
1098:20f4       1098    FUN_1098_20f4                                         80    6  DEFAULT
1098:2144       1098    FUN_1098_2144                                         59    1  DEFAULT
1098:217f       1098    FUN_1098_217f                                         14    0  DEFAULT
1098:218d       1098    FUN_1098_218d                                         43    4  DEFAULT
1098:21b8       1098    FUN_1098_21b8                                        168    2  DEFAULT
